country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Ukraine,Kiev City,30,32990,2134599,236,46130,259139,-213010,43591,35666,62395,111992,68477,72463,23145,35850,102185,63618,101178,55161,18917,27719,21041,73668,44614,60819,12108,17006,13528,15186,5187,21597
Ukraine,Kiev City,50,28899,2048168,262,44467,228363,-183896,41934,33996,58070,108221,66908,70316,22529,34668,100606,63009,99251,54462,18037,26784,20002,70998,42060,57349,11244,16167,12162,14197,4654,19587
Ukraine,Kiev City,75,19820,1530748,301,30426,160647,-130221,32701,25178,39606,70298,46964,48076,18488,24233,73905,49780,73732,42348,13162,17214,11940,41525,23024,30240,7135,11624,8407,8879,2809,8977
Ukraine,Kirovohrad,0,2473260,9983041,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Kirovohrad,10,291268,9695955,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Kirovohrad,15,266572,9348727,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Kirovohrad,20,250003,9112632,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Kirovohrad,25,230769,8840500,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,Kirovohrad,30,210868,8547675,126,121996,1671939,-1549943,45367,80276,64797,106095,87204,88844,119621,135480,106329,89742,133711,155644,122273,168989,178277,220121,226005,187640,138517,107193,130138,93839,74283,67510
Ukraine,Kirovohrad,50,167223,7761304,141,119888,1328797,-1208909,44091,78517,64073,104523,86388,87561,118583,133935,104248,89013,130356,151569,121600,168141,177406,216183,218999,184812,136843,105569,126828,90657,72051,65368
